datecollected,siteid,sampleid,basisofrecord,minimumdepthinmeters,maximumdepthinmeters,taxaname,taxanameid,samplingeffort,parameter,parameter_value,parameter_standardunit
2009-05-06,AMI,AMI_20090506,HumanObservation,0.0,4.0,Crangon crangon,107552,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,3.0,ind
2009-07-21,AMI,AMI_20090721,HumanObservation,0.0,4.0,Crangon crangon,107552,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,3.0,ind
2009-09-17,AMI,AMI_20090917,HumanObservation,0.0,4.0,Crangon crangon,107552,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,6.0,ind
2015-10-26,AMI,AMI_20151026,HumanObservation,0.0,4.0,Crangon crangon,107552,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,17.0,ind
2018-09-19,AMI,AMI_20180919,HumanObservation,0.0,4.0,Crangon crangon,107552,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2021-09-14,AMI,AMI_20210914,HumanObservation,0.0,4.0,Crangon crangon,107552,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,15.0,Ind
2003-10-10,AMI,AMI_20031010,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,225.0,ind
2006-10-04,AMI,AMI_20061004,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,26.0,ind
2009-09-17,AMI,AMI_20090917,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,19.0,ind
2012-10-24,AMI,AMI_20121024,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,5.0,ind
2015-10-26,AMI,AMI_20151026,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,25.0,ind
2018-09-19,AMI,AMI_20180919,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,8.0,Ind
2021-09-14,AMI,AMI_20210914,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,6.0,Ind
2003-10-10,AMI,AMI_20031010,HumanObservation,0.0,4.0,Pachygrapsus marmoratus,107455,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,7.0,ind
2012-10-24,AMI,AMI_20121024,HumanObservation,0.0,4.0,Pachygrapsus marmoratus,107455,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2018-09-19,AMI,AMI_20180919,HumanObservation,0.0,4.0,Pachygrapsus marmoratus,107455,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2015-10-26,AMI,AMI_20151026,HumanObservation,0.0,4.0,Anguilla anguilla,126281,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2003-10-10,AMI,AMI_20031010,HumanObservation,0.0,4.0,Engraulis encrasicolus,126426,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2006-10-04,AMI,AMI_20061004,HumanObservation,0.0,4.0,Syngnathus acus,127387,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2003-10-10,AMI,AMI_20031010,HumanObservation,0.0,4.0,Diplodus sargus,127053,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,10.0,ind
2009-09-17,AMI,AMI_20090917,HumanObservation,0.0,4.0,Diplodus sargus,127053,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2012-10-24,AMI,AMI_20121024,HumanObservation,0.0,4.0,Diplodus sargus,127053,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2012-10-24,AMI,AMI_20121024,HumanObservation,0.0,4.0,Diplodus annularis,127049,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2015-10-26,AMI,AMI_20151026,HumanObservation,0.0,4.0,Diplodus vulgaris,127054,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,3.0,ind
2003-10-10,AMI,AMI_20031010,HumanObservation,0.0,4.0,Dicentrarchus labrax,126975,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2018-09-19,AMI,AMI_20180919,HumanObservation,0.0,4.0,Dicentrarchus labrax,126975,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,Ind
2018-09-19,AMI,AMI_20180919,HumanObservation,0.0,4.0,Mugilidae,125546,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,3.0,Ind
2003-10-10,AMI,AMI_20031010,HumanObservation,0.0,4.0,Chelon labrosus,126977,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2003-10-10,AMI,AMI_20031010,HumanObservation,0.0,4.0,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2015-10-26,AMI,AMI_20151026,HumanObservation,0.0,4.0,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2018-09-19,AMI,AMI_20180919,HumanObservation,0.0,4.0,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2003-10-10,AMI,AMI_20031010,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,223.0,ind
2006-10-04,AMI,AMI_20061004,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,6.0,ind
2012-10-24,AMI,AMI_20121024,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2015-10-26,AMI,AMI_20151026,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2018-09-19,AMI,AMI_20180919,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,Ind
2021-09-14,AMI,AMI_20210914,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,26.0,Ind
2003-10-10,AMI,AMI_20031010,HumanObservation,0.0,4.0,Platichthys flesus,127141,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2009-05-06,AMI,AMI_20090506,HumanObservation,0.0,4.0,Platichthys flesus,127141,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,14.0,ind
2009-07-21,AMI,AMI_20090721,HumanObservation,0.0,4.0,Platichthys flesus,127141,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,14.0,ind
2006-10-04,AMI,AMI_20061004,HumanObservation,0.0,4.0,Solea solea,127160,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,3.0,ind
2018-09-19,AMI,AMI_20180919,HumanObservation,0.0,4.0,Solea solea,127160,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2003-10-10,AMM,AMM_20031010,HumanObservation,0.0,4.0,Palaemon sp.,107032,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,6.0,ind
2012-10-24,AMM,AMM_20121024,HumanObservation,0.0,4.0,Palaemon sp.,107032,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,3.0,ind
2021-09-14,AMM,AMM_20210914,HumanObservation,0.0,4.0,Palaemon sp.,107032,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,8.0,Ind
2003-10-10,AMM,AMM_20031010,HumanObservation,0.0,4.0,Crangon crangon,107552,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,13.0,ind
2006-10-04,AMM,AMM_20061004,HumanObservation,0.0,4.0,Crangon crangon,107552,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2009-05-06,AMM,AMM_20090506,HumanObservation,0.0,4.0,Crangon crangon,107552,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2009-07-21,AMM,AMM_20090721,HumanObservation,0.0,4.0,Crangon crangon,107552,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,7.0,ind
2018-09-19,AMM,AMM_20180919,HumanObservation,0.0,4.0,Crangon crangon,107552,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2021-09-14,AMM,AMM_20210914,HumanObservation,0.0,4.0,Crangon crangon,107552,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,42.0,Ind
2003-10-10,AMM,AMM_20031010,HumanObservation,0.0,4.0,Upogebia pusilla,107741,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,7.0,ind
2009-09-17,AMM,AMM_20090917,HumanObservation,0.0,4.0,Macropodia rostrata,107345,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2015-10-26,AMM,AMM_20151026,HumanObservation,0.0,4.0,Macropodia rostrata,107345,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2003-10-10,AMM,AMM_20031010,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,97.0,ind
2006-10-04,AMM,AMM_20061004,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,9.0,ind
2009-05-06,AMM,AMM_20090506,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,13.0,ind
2009-07-21,AMM,AMM_20090721,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,29.0,ind
2009-09-17,AMM,AMM_20090917,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,21.0,ind
2012-10-24,AMM,AMM_20121024,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2015-10-26,AMM,AMM_20151026,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,13.0,ind
2018-09-19,AMM,AMM_20180919,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,Ind
2021-09-14,AMM,AMM_20210914,HumanObservation,0.0,4.0,Carcinus maenas,107381,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,17.0,Ind
2015-10-26,AMM,AMM_20151026,HumanObservation,0.0,4.0,Hemigrapsus takanoi,389288,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,10.0,ind
2021-09-14,AMM,AMM_20210914,HumanObservation,0.0,4.0,Hemigrapsus takanoi,389288,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,5.0,Ind
2003-10-10,AMM,AMM_20031010,HumanObservation,0.0,4.0,Pachygrapsus marmoratus,107455,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,5.0,ind
2006-10-04,AMM,AMM_20061004,HumanObservation,0.0,4.0,Pachygrapsus marmoratus,107455,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2009-07-21,AMM,AMM_20090721,HumanObservation,0.0,4.0,Pachygrapsus marmoratus,107455,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,4.0,ind
2012-10-24,AMM,AMM_20121024,HumanObservation,0.0,4.0,Pachygrapsus marmoratus,107455,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,4.0,ind
2006-10-04,AMM,AMM_20061004,HumanObservation,0.0,4.0,Diplodus sargus,127053,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,6.0,ind
2012-10-24,AMM,AMM_20121024,HumanObservation,0.0,4.0,Diplodus sargus,127053,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,3.0,ind
2018-09-19,AMM,AMM_20180919,HumanObservation,0.0,4.0,Diplodus sargus,127053,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,25.0,Ind
2012-10-24,AMM,AMM_20121024,HumanObservation,0.0,4.0,Diplodus annularis,127049,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2015-10-26,AMM,AMM_20151026,HumanObservation,0.0,4.0,Diplodus annularis,127049,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2018-09-19,AMM,AMM_20180919,HumanObservation,0.0,4.0,Diplodus annularis,127049,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,Ind
2018-09-19,AMM,AMM_20180919,HumanObservation,0.0,4.0,Dicentrarchus labrax,126975,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,Ind
2003-10-10,AMM,AMM_20031010,HumanObservation,0.0,4.0,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2006-10-04,AMM,AMM_20061004,HumanObservation,0.0,4.0,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2009-09-17,AMM,AMM_20090917,HumanObservation,0.0,4.0,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2015-10-26,AMM,AMM_20151026,HumanObservation,0.0,4.0,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,6.0,ind
2021-09-14,AMM,AMM_20210914,HumanObservation,0.0,4.0,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,11.0,Ind
2003-10-10,AMM,AMM_20031010,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,54.0,ind
2006-10-04,AMM,AMM_20061004,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,16.0,ind
2009-05-06,AMM,AMM_20090506,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2009-09-17,AMM,AMM_20090917,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,3.0,ind
2015-10-26,AMM,AMM_20151026,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2018-09-19,AMM,AMM_20180919,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,3.0,Ind
2021-09-14,AMM,AMM_20210914,HumanObservation,0.0,4.0,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,168.0,Ind
2006-10-04,AMM,AMM_20061004,HumanObservation,0.0,4.0,Solea solea,127160,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2009-07-21,AMM,AMM_20090721,HumanObservation,0.0,4.0,Solea solea,127160,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2015-10-26,AMM,AMM_20151026,HumanObservation,0.0,4.0,Solea solea,127160,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,7.0,ind
2021-09-14,AMM,AMM_20210914,HumanObservation,0.0,4.0,Solea solea,127160,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2021-09-30,ANE,ANE_20210930,HumanObservation,7.4,13.2,Raja undulata,105891,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2018-09-21,ANE,ANE_20180921,HumanObservation,7.4,13.2,Hippocampus hippocampus,127380,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2021-09-30,ANE,ANE_20210930,HumanObservation,7.4,13.2,Hippocampus hippocampus,127380,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2012-09-27,ANE,ANE_20120927,HumanObservation,7.4,13.2,Scorpaena porcus,127247,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2021-09-30,ANE,ANE_20210930,HumanObservation,7.4,13.2,Scorpaena porcus,127247,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2015-09-21,ANE,ANE_20150921,HumanObservation,7.4,13.2,Spondyliosoma cantharus,127066,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2018-09-21,ANE,ANE_20180921,HumanObservation,7.4,13.2,Spondyliosoma cantharus,127066,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2021-09-30,ANE,ANE_20210930,HumanObservation,7.4,13.2,Ctenolabrus rupestris,126964,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,Ind
2006-10-02,ANE,ANE_20061002,HumanObservation,7.4,13.2,Callionymus lyra,126792,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2021-09-30,ANE,ANE_20210930,HumanObservation,7.4,13.2,Callionymus lyra,126792,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2006-10-02,ANE,ANE_20061002,HumanObservation,7.4,13.2,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,4.0,ind
2009-05-11,ANE,ANE_20090511,HumanObservation,7.4,13.2,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2009-07-02,ANE,ANE_20090702,HumanObservation,7.4,13.2,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2009-09-18,ANE,ANE_20090918,HumanObservation,7.4,13.2,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,ind
2015-09-21,ANE,ANE_20150921,HumanObservation,7.4,13.2,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2021-09-30,ANE,ANE_20210930,HumanObservation,7.4,13.2,Gobius niger,126892,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,20.0,Ind
2003-09-26,ANE,ANE_20030926,HumanObservation,7.4,13.2,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,7.0,ind
2006-10-02,ANE,ANE_20061002,HumanObservation,7.4,13.2,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,18.0,ind
2009-05-11,ANE,ANE_20090511,HumanObservation,7.4,13.2,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,3.0,ind
2009-07-02,ANE,ANE_20090702,HumanObservation,7.4,13.2,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
2021-09-30,ANE,ANE_20210930,HumanObservation,7.4,13.2,Pomatoschistus sp.,125999,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,Ind
2021-09-30,ANE,ANE_20210930,HumanObservation,7.4,13.2,Zebrus zebrus,126941,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2021-09-30,ANE,ANE_20210930,HumanObservation,7.4,13.2,Arnoglossus laterna,127126,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,1.0,Ind
2009-05-11,ANE,ANE_20090511,HumanObservation,7.4,13.2,Solea solea,127160,"Three hauls, 1.5 m wide beam trawl, net of 10 mm mesh size and 8 mm mesh size cod end; towed 10 min at 1.5 knots",Abundance,2.0,ind
